country_region,province_state,lat,long,case_type,date,cases
Afghanistan,Entire,33.0,65.0,Confirmed,2020-01-22,0
Albania,Entire,41.1533,20.1683,Confirmed,2020-01-22,0
Algeria,Entire,28.0339,1.6596,Confirmed,2020-01-22,0
Andorra,Entire,42.5063,1.5218,Confirmed,2020-01-22,0
Angola,Entire,-11.2027,17.8739,Confirmed,2020-01-22,0
Antigua and Barbuda,Entire,17.0608,-61.7964,Confirmed,2020-01-22,0
Argentina,Entire,-38.4161,-63.6167,Confirmed,2020-01-22,0
Armenia,Entire,40.0691,45.0382,Confirmed,2020-01-22,0
Australia,Australian Capital Territory,-35.4735,149.0124,Confirmed,2020-01-22,0
Australia,New South Wales,-33.8688,151.2093,Confirmed,2020-01-22,0
Australia,Northern Territory,-12.4634,130.8456,Confirmed,2020-01-22,0
Australia,Queensland,-28.0167,153.4,Confirmed,2020-01-22,0
Australia,South Australia,-34.9285,138.6007,Confirmed,2020-01-22,0
Australia,Tasmania,-41.4545,145.9707,Confirmed,2020-01-22,0
Australia,Victoria,-37.8136,144.9631,Confirmed,2020-01-22,0
Australia,Western Australia,-31.9505,115.8605,Confirmed,2020-01-22,0
Austria,Entire,47.5162,14.5501,Confirmed,2020-01-22,0
Azerbaijan,Entire,40.1431,47.5769,Confirmed,2020-01-22,0
Bahamas,Entire,25.0343,-77.3963,Confirmed,2020-01-22,0
Bahrain,Entire,26.0275,50.55,Confirmed,2020-01-22,0
Bangladesh,Entire,23.685,90.3563,Confirmed,2020-01-22,0
Barbados,Entire,13.1939,-59.5432,Confirmed,2020-01-22,0
Belarus,Entire,53.7098,27.9534,Confirmed,2020-01-22,0
Belgium,Entire,50.8333,4.0,Confirmed,2020-01-22,0
Benin,Entire,9.3077,2.3158,Confirmed,2020-01-22,0
Bhutan,Entire,27.5142,90.4336,Confirmed,2020-01-22,0
Bolivia,Entire,-16.2902,-63.5887,Confirmed,2020-01-22,0
Bosnia and Herzegovina,Entire,43.9159,17.6791,Confirmed,2020-01-22,0
Brazil,Entire,-14.235,-51.9253,Confirmed,2020-01-22,0
Brunei,Entire,4.5353,114.7277,Confirmed,2020-01-22,0
Bulgaria,Entire,42.7339,25.4858,Confirmed,2020-01-22,0
Burkina Faso,Entire,12.2383,-1.5616,Confirmed,2020-01-22,0
Cabo Verde,Entire,16.5388,-23.0418,Confirmed,2020-01-22,0
Cambodia,Entire,11.55,104.9167,Confirmed,2020-01-22,0
Cameroon,Entire,3.848,11.5021,Confirmed,2020-01-22,0
Canada,Alberta,53.9333,-116.5765,Confirmed,2020-01-22,0
Canada,British Columbia,49.2827,-123.1207,Confirmed,2020-01-22,0
Canada,Grand Princess,37.6489,-122.6655,Confirmed,2020-01-22,0
Canada,Manitoba,53.7609,-98.8139,Confirmed,2020-01-22,0
Canada,New Brunswick,46.5653,-66.4619,Confirmed,2020-01-22,0
Canada,Newfoundland and Labrador,53.1355,-57.6604,Confirmed,2020-01-22,0
Canada,Nova Scotia,44.682,-63.7443,Confirmed,2020-01-22,0
Canada,Ontario,51.2538,-85.3232,Confirmed,2020-01-22,0
Canada,Prince Edward Island,46.5107,-63.4168,Confirmed,2020-01-22,0
Canada,Quebec,52.9399,-73.5491,Confirmed,2020-01-22,0
Canada,Saskatchewan,52.9399,-106.4509,Confirmed,2020-01-22,0
Central African Republic,Entire,6.6111,20.9394,Confirmed,2020-01-22,0
Chad,Entire,15.4542,18.7322,Confirmed,2020-01-22,0
Chile,Entire,-35.6751,-71.543,Confirmed,2020-01-22,0
China,Anhui,31.8257,117.2264,Confirmed,2020-01-22,1
China,Beijing,40.1824,116.4142,Confirmed,2020-01-22,14
China,Chongqing,30.0572,107.874,Confirmed,2020-01-22,6
China,Fujian,26.0789,117.9874,Confirmed,2020-01-22,1
China,Gansu,37.8099,101.0583,Confirmed,2020-01-22,0
China,Guangdong,23.3417,113.4244,Confirmed,2020-01-22,26
China,Guangxi,23.8298,108.7881,Confirmed,2020-01-22,2
China,Guizhou,26.8154,106.8748,Confirmed,2020-01-22,1
China,Hainan,19.1959,109.7453,Confirmed,2020-01-22,4
China,Hebei,39.549,116.1306,Confirmed,2020-01-22,1
China,Heilongjiang,47.862,127.7615,Confirmed,2020-01-22,0
China,Henan,33.882,113.614,Confirmed,2020-01-22,5
China,Hong Kong,22.3,114.2,Confirmed,2020-01-22,0
China,Hubei,30.9756,112.2707,Confirmed,2020-01-22,444
China,Hunan,27.6104,111.7088,Confirmed,2020-01-22,4
China,Inner Mongolia,44.0935,113.9448,Confirmed,2020-01-22,0
China,Jiangsu,32.9711,119.455,Confirmed,2020-01-22,1
China,Jiangxi,27.614,115.7221,Confirmed,2020-01-22,2
China,Jilin,43.6661,126.1923,Confirmed,2020-01-22,0
China,Liaoning,41.2956,122.6085,Confirmed,2020-01-22,2
China,Macau,22.1667,113.55,Confirmed,2020-01-22,1
China,Ningxia,37.2692,106.1655,Confirmed,2020-01-22,1
China,Qinghai,35.7452,95.9956,Confirmed,2020-01-22,0
China,Shaanxi,35.1917,108.8701,Confirmed,2020-01-22,0
China,Shandong,36.3427,118.1498,Confirmed,2020-01-22,2
China,Shanghai,31.202,121.4491,Confirmed,2020-01-22,9
China,Shanxi,37.5777,112.2922,Confirmed,2020-01-22,1
China,Sichuan,30.6171,102.7103,Confirmed,2020-01-22,5
China,Tianjin,39.3054,117.323,Confirmed,2020-01-22,4
China,Tibet,31.6927,88.0924,Confirmed,2020-01-22,0
China,Xinjiang,41.1129,85.2401,Confirmed,2020-01-22,0
China,Yunnan,24.974,101.487,Confirmed,2020-01-22,1
China,Zhejiang,29.1832,120.0934,Confirmed,2020-01-22,10
Colombia,Entire,4.5709,-74.2973,Confirmed,2020-01-22,0
Congo (Brazzaville),Entire,-4.0383,21.7587,Confirmed,2020-01-22,0
Congo (Kinshasa),Entire,-4.0383,21.7587,Confirmed,2020-01-22,0
Costa Rica,Entire,9.7489,-83.7534,Confirmed,2020-01-22,0
Cote d'Ivoire,Entire,7.54,-5.5471,Confirmed,2020-01-22,0
Croatia,Entire,45.1,15.2,Confirmed,2020-01-22,0
Diamond Princess,Entire,0.0,0.0,Confirmed,2020-01-22,0
Cuba,Entire,22.0,-80.0,Confirmed,2020-01-22,0
Cyprus,Entire,35.1264,33.4299,Confirmed,2020-01-22,0
Czechia,Entire,49.8175,15.473,Confirmed,2020-01-22,0
Denmark,Faroe Islands,61.8926,-6.9118,Confirmed,2020-01-22,0
Denmark,Greenland,71.7069,-42.6043,Confirmed,2020-01-22,0
Denmark,Entire,56.2639,9.5018,Confirmed,2020-01-22,0
Djibouti,Entire,11.8251,42.5903,Confirmed,2020-01-22,0
Dominican Republic,Entire,18.7357,-70.1627,Confirmed,2020-01-22,0
Ecuador,Entire,-1.8312,-78.1834,Confirmed,2020-01-22,0
Egypt,Entire,26.0,30.0,Confirmed,2020-01-22,0
El Salvador,Entire,13.7942,-88.8965,Confirmed,2020-01-22,0
Equatorial Guinea,Entire,1.5,10.0,Confirmed,2020-01-22,0
Eritrea,Entire,15.1794,39.7823,Confirmed,2020-01-22,0
Estonia,Entire,58.5953,25.0136,Confirmed,2020-01-22,0
Eswatini,Entire,-26.5225,31.4659,Confirmed,2020-01-22,0
Ethiopia,Entire,9.145,40.4897,Confirmed,2020-01-22,0
Fiji,Entire,-17.7134,178.065,Confirmed,2020-01-22,0
Finland,Entire,64.0,26.0,Confirmed,2020-01-22,0
France,French Guiana,3.9339,-53.1258,Confirmed,2020-01-22,0
France,French Polynesia,-17.6797,149.4068,Confirmed,2020-01-22,0
France,Guadeloupe,16.25,-61.5833,Confirmed,2020-01-22,0
France,Mayotte,-12.8275,45.1662,Confirmed,2020-01-22,0
France,New Caledonia,-20.9043,165.618,Confirmed,2020-01-22,0
France,Reunion,-21.1351,55.2471,Confirmed,2020-01-22,0
France,Saint Barthelemy,17.9,-62.8333,Confirmed,2020-01-22,0
France,St Martin,18.0708,-63.0501,Confirmed,2020-01-22,0
France,Martinique,14.6415,-61.0242,Confirmed,2020-01-22,0
France,Entire,46.2276,2.2137,Confirmed,2020-01-22,0
Gabon,Entire,-0.8037,11.6094,Confirmed,2020-01-22,0
Gambia,Entire,13.4432,-15.3101,Confirmed,2020-01-22,0
Georgia,Entire,42.3154,43.3569,Confirmed,2020-01-22,0
Germany,Entire,51.0,9.0,Confirmed,2020-01-22,0
Ghana,Entire,7.9465,-1.0232,Confirmed,2020-01-22,0
Greece,Entire,39.0742,21.8243,Confirmed,2020-01-22,0
Guatemala,Entire,15.7835,-90.2308,Confirmed,2020-01-22,0
Guinea,Entire,9.9456,-9.6966,Confirmed,2020-01-22,0
Guyana,Entire,5.0,-58.75,Confirmed,2020-01-22,0
Haiti,Entire,18.9712,-72.2852,Confirmed,2020-01-22,0
Holy See,Entire,41.9029,12.4534,Confirmed,2020-01-22,0
Honduras,Entire,15.2,-86.2419,Confirmed,2020-01-22,0
Hungary,Entire,47.1625,19.5033,Confirmed,2020-01-22,0
Iceland,Entire,64.9631,-19.0208,Confirmed,2020-01-22,0
India,Entire,21.0,78.0,Confirmed,2020-01-22,0
Indonesia,Entire,-0.7893,113.9213,Confirmed,2020-01-22,0
Iran,Entire,32.0,53.0,Confirmed,2020-01-22,0
Iraq,Entire,33.0,44.0,Confirmed,2020-01-22,0
Ireland,Entire,53.1424,-7.6921,Confirmed,2020-01-22,0
Israel,Entire,31.0,35.0,Confirmed,2020-01-22,0
Italy,Entire,43.0,12.0,Confirmed,2020-01-22,0
Jamaica,Entire,18.1096,-77.2975,Confirmed,2020-01-22,0
Japan,Entire,36.0,138.0,Confirmed,2020-01-22,2
Jordan,Entire,31.24,36.51,Confirmed,2020-01-22,0
Kazakhstan,Entire,48.0196,66.9237,Confirmed,2020-01-22,0
Kenya,Entire,-0.0236,37.9062,Confirmed,2020-01-22,0
"Korea, South",Entire,36.0,128.0,Confirmed,2020-01-22,1
Kuwait,Entire,29.5,47.75,Confirmed,2020-01-22,0
Kyrgyzstan,Entire,41.2044,74.7661,Confirmed,2020-01-22,0
Latvia,Entire,56.8796,24.6032,Confirmed,2020-01-22,0
Lebanon,Entire,33.8547,35.8623,Confirmed,2020-01-22,0
Liberia,Entire,6.4281,-9.4295,Confirmed,2020-01-22,0
Liechtenstein,Entire,47.14,9.55,Confirmed,2020-01-22,0
Lithuania,Entire,55.1694,23.8813,Confirmed,2020-01-22,0
Luxembourg,Entire,49.8153,6.1296,Confirmed,2020-01-22,0
Madagascar,Entire,-18.7669,46.8691,Confirmed,2020-01-22,0
Malaysia,Entire,2.5,112.5,Confirmed,2020-01-22,0
Maldives,Entire,3.2028,73.2207,Confirmed,2020-01-22,0
Malta,Entire,35.9375,14.3754,Confirmed,2020-01-22,0
Mauritania,Entire,21.0079,10.9408,Confirmed,2020-01-22,0
Mauritius,Entire,-20.2,57.5,Confirmed,2020-01-22,0
Mexico,Entire,23.6345,-102.5528,Confirmed,2020-01-22,0
Moldova,Entire,47.4116,28.3699,Confirmed,2020-01-22,0
Monaco,Entire,43.7333,7.4167,Confirmed,2020-01-22,0
Mongolia,Entire,46.8625,103.8467,Confirmed,2020-01-22,0
Montenegro,Entire,42.5,19.3,Confirmed,2020-01-22,0
Morocco,Entire,31.7917,-7.0926,Confirmed,2020-01-22,0
Namibia,Entire,-22.9576,18.4904,Confirmed,2020-01-22,0
Nepal,Entire,28.1667,84.25,Confirmed,2020-01-22,0
Netherlands,Aruba,12.5186,-70.0358,Confirmed,2020-01-22,0
Netherlands,Curacao,12.1696,-68.99,Confirmed,2020-01-22,0
Netherlands,Sint Maarten,18.0425,-63.0548,Confirmed,2020-01-22,0
Netherlands,Entire,52.1326,5.2913,Confirmed,2020-01-22,0
New Zealand,Entire,-40.9006,174.886,Confirmed,2020-01-22,0
Nicaragua,Entire,12.8654,-85.2072,Confirmed,2020-01-22,0
Niger,Entire,17.6078,8.0817,Confirmed,2020-01-22,0
Nigeria,Entire,9.082,8.6753,Confirmed,2020-01-22,0
North Macedonia,Entire,41.6086,21.7453,Confirmed,2020-01-22,0
Norway,Entire,60.472,8.4689,Confirmed,2020-01-22,0
Oman,Entire,21.0,57.0,Confirmed,2020-01-22,0
Pakistan,Entire,30.3753,69.3451,Confirmed,2020-01-22,0
Panama,Entire,8.538,-80.7821,Confirmed,2020-01-22,0
Papua New Guinea,Entire,-6.315,143.9555,Confirmed,2020-01-22,0
Paraguay,Entire,-23.4425,-58.4438,Confirmed,2020-01-22,0
Peru,Entire,-9.19,-75.0152,Confirmed,2020-01-22,0
Philippines,Entire,13.0,122.0,Confirmed,2020-01-22,0
Poland,Entire,51.9194,19.1451,Confirmed,2020-01-22,0
Portugal,Entire,39.3999,-8.2245,Confirmed,2020-01-22,0
Qatar,Entire,25.3548,51.1839,Confirmed,2020-01-22,0
Romania,Entire,45.9432,24.9668,Confirmed,2020-01-22,0
Russia,Entire,60.0,90.0,Confirmed,2020-01-22,0
Rwanda,Entire,-1.9403,29.8739,Confirmed,2020-01-22,0
Saint Lucia,Entire,13.9094,-60.9789,Confirmed,2020-01-22,0
